name,map,Rprec,recip_rank,P_5,P_10,recall_5,recall_10,ndcg_cut_10,time (s)
TF-IDF+MeSH+Bo1,0.048732933928031824,0.06846833998996107,0.1413201100360702,0.08750000000000002,0.09062500000000001,0.011856797529675276,0.029871438449278438,0.08559743217753848,994.61
TF-IDF+MeSH+KL+BioBERT,0.04800171983734703,0.07315812570394517,0.15410266613602372,0.10937500000000003,0.10156249999999999,0.017530150647201592,0.030117799954520123,0.08787838472086454,1176.26
TF-IDF+MeSH+Bo1+PubMedBERT,0.045207488208952026,0.07098373456605994,0.17855855186310804,0.09375000000000003,0.08593749999999997,0.016657192163709506,0.027898864957350087,0.08617619510629432,1364.54
TF-IDF+MeSH+KL+PubMedBERT,0.04435439526887493,0.0770058110088447,0.15467288751438796,0.08750000000000001,0.08437499999999998,0.015047890571339026,0.024650271485870588,0.08010961541916078,1169.11
"BM25(k1=2.0,b=0.25)+MeSH+KL",0.04351739223213364,0.0671139401808419,0.16519407079943557,0.08750000000000002,0.0859375,0.014329581936960462,0.02366674141216877,0.08375923431875112,1035.09
TF-IDF+MeSH,0.043347516432541824,0.07134546963054848,0.14188714429596624,0.08437500000000002,0.08125,0.02035098539551684,0.03222845653683658,0.08147576935134891,1019.65
"BM25(k1=2.0,b=0.25)+MeSH+Bo1",0.04212186554618608,0.0652900675710092,0.15549313189145475,0.08437500000000002,0.0796875,0.013516318993763307,0.022734158370210734,0.07921488983769691,1008.25
"BM25(k1=1.5,b=0.25)+MeSH+KL",0.0413378577028828,0.062250777833071924,0.13573290052381817,0.08125000000000002,0.078125,0.012293510315371785,0.02027899412978139,0.07209066672359266,1019.81
TF-IDF+MeSH+PubMedBERT,0.04126098099211714,0.06611833136144772,0.17043334513669814,0.07812500000000001,0.07656249999999996,0.01656096162194231,0.030771756033362088,0.07561626317619041,1630.52
"BM25(k1=1.5,b=0.25)+MeSH+Bo1",0.04025499133849657,0.06371306318665107,0.13909088076121104,0.07187500000000001,0.075,0.010949214373310753,0.019653719435113313,0.07115975482468992,1007.23
"BM25(k1=1.5,b=0.25)+MeSH+Bo1+BioBERT",0.03911490655324576,0.06607944479926854,0.15632218838907988,0.08125000000000002,0.0828125,0.012193073497288208,0.024318558119734605,0.0752263811449219,1762.71
"BM25(k1=2.0,b=0.25)+MeSH+Bo1+BioBERT",0.038106185288067126,0.06245759816279943,0.14276264520911838,0.07500000000000001,0.078125,0.011213449672836799,0.01996703183157825,0.06852767458274037,1140.99
